Carrier Frequency,Half Area Carrier,Symmetry Carrier,Weighted Center Carrier
131696413.43315125,180126953.125,145751953.125,177078698.7280609
118429837.20996475,118432617.1875,172973632.8125,118663765.96103993
117252103.77317429,117260742.1875,172485351.5625,117255636.44272938
124570178.66029358,173999023.4375,301879882.8125,132689688.71283078
125781456.66618347,193334960.9375,200805664.0625,137050718.1828943
165341647.17878342,196875000.0,165405273.4375,226405936.75945556
129653195.92155457,110864257.8125,201782226.5625,152578692.05249748
154303279.40488052,190551757.8125,163085937.5,217717056.85651636
140594240.3906021,201464843.75,171020507.8125,192804765.64477435
131352859.08595657,151611328.125,225708007.8125,158659119.96417606
151097430.22470474,191845703.125,151000976.5625,213864678.2817291
136530250.647995,180639648.4375,359863281.25,179082799.76501447
143214156.91651917,188305664.0625,329711914.0625,198890793.67485747
123505356.19429398,156933593.75,277221679.6875,129089363.07762656
116182068.29218674,116186523.4375,322631835.9375,116178769.26649842
160330520.63434982,194018554.6875,134277343.75,223844631.29699263
126024523.42139053,140258789.0625,251708984.375,141427980.99327922
157250075.6212616,192285156.25,139892578.125,221144007.63116273
127825631.38231659,127929687.5,177001953.125,146797502.77195245
138596384.00222397,182250976.5625,196411132.8125,186370500.0274524
148113061.8619194,226440429.6875,254394531.25,209526831.18159235
132335207.64952087,179199218.75,226196289.0625,164854412.094813
145346287.34379196,192626953.125,182250976.5625,204322864.3819317
133890242.1029625,180175781.25,341796875.0,171473620.26373425
129979405.70581055,129956054.6875,202514648.4375,158314482.323261
149452013.82526398,199902343.75,324340820.3125,213492139.38280103
134508995.18670273,180688476.5625,138916015.625,177906249.46468666
141113852.30784225,184033203.125,128906250.0,198096238.3002197
115485982.50639343,115502929.6875,144287109.375,115732306.13307767
112885018.50948715,155541992.1875,370849609.375,115077392.81590363
138414841.85650635,182812500.0,133300781.25,191765541.06366313
123625629.5849266,162841796.875,130004882.8125,135289308.20198303
162813191.2421074,228125000.0,179321289.0625,225066537.2152695
128432985.89690399,128564453.125,300415039.0625,152196958.20270985
152375311.29271698,225952148.4375,321044921.875,217121015.13198304
174190830.13040924,241162109.375,249267578.125,230649282.1152106
116421615.76172638,174316406.25,145263671.875,124479391.55480893
121724296.19605255,122778320.3125,308471679.6875,130106002.0759514
116103263.86693573,116113281.25,144653320.3125,116629914.63513683
145800394.3453369,221093750.0,142700195.3125,208602652.83878312
128944779.83036423,148437500.0,353027343.75,163930234.47873315
112287456.48640442,137915039.0625,295043945.3125,116848358.65665358
143381981.10523605,181005859.375,146728515.625,203553971.69198748
130812136.19684982,179345703.125,277099609.375,170610668.071818
137787687.3338852,172534179.6875,337158203.125,185851683.29788727
163899783.8372574,226342773.4375,162475585.9375,227391489.71896905
159189313.75956726,215234375.0,205932617.1875,223656764.28355977
124364158.28198624,134667968.75,150268554.6875,139951583.10065106
153655051.25852585,217797851.5625,204345703.125,220013030.59729263
124377871.21180725,124584960.9375,228881835.9375,144691778.63389242
121854375.68364716,174658203.125,174682617.1875,127519367.53794028
118681132.33270645,118676757.8125,125000000.0,118682761.24111637
147918524.5749817,211328125.0,347412109.375,213019905.10264125
126660123.15856552,135742187.5,280395507.8125,157064844.3806766
115583504.58609772,115600585.9375,144042968.75,115578368.99868046
138804332.64485168,183520507.8125,362182617.1875,197279715.1274054
165159049.9314766,223217773.4375,156860351.5625,226289867.5298275
132774065.36754227,180468750.0,143066406.25,177382597.32090276
125917030.79311371,128149414.0625,300537109.375,137080984.93559453
119035005.57331085,119042968.75,199951171.875,119273542.91393606
118142191.26287079,118237304.6875,172485351.5625,118149142.38432965
135092319.65423965,206762695.3125,140991210.9375,195893825.75866345
123459038.26729202,134814453.125,175170898.4375,131740109.14342026
170676097.8590355,199975585.9375,360107421.875,229273356.80639377
143272072.51350784,186572265.625,226074218.75,198864843.38183582
161795232.76544952,227661132.8125,132934570.3125,225644496.4893239
136533817.491436,134619140.625,337524414.0625,179132541.59580994
122058802.35409164,124633789.0625,148803710.9375,133859083.76807052
150454029.5878067,198120117.1875,135498046.875,216866253.9661035
124183944.01488876,176977539.0625,203613281.25,151316439.41117686
121936735.47166824,163720703.125,200439453.125,125547403.87631129
177406319.30537033,187524414.0625,182373046.875,230796644.23982218
140026558.34444427,182861328.125,355834960.9375,192552557.08859798
119166562.91228104,119189453.125,146240234.375,119745770.210817
127129676.62735748,127124023.4375,251586914.0625,146445801.77595612
156644375.61670303,196533203.125,351074218.75,220876813.85197014
117964665.81749344,117968750.0,364013671.875,117971516.52914481
116365632.56282425,116333007.8125,172851562.5,116441141.4902013
116630732.48838806,116625976.5625,144653320.3125,116643241.9553238
134185458.03508759,181274414.0625,346191406.25,183960185.1874496
168897918.01565933,217065429.6875,361938476.5625,228338050.83529508
131867689.72583008,131860351.5625,141967773.4375,164720176.5125761
122415198.58784485,176782226.5625,257568359.375,146807908.77745643
147976399.5753212,220654296.875,137451171.875,209413734.5521897
181864154.76317596,230322265.625,157714843.75,231497800.85094336
118972349.04450226,118969726.5625,201293945.3125,121088055.44959985
118832145.329216,159960937.5,369628906.25,124417154.63331105
187315088.1807289,189843750.0,219970703.125,232208533.57562962
119270775.27042389,119335937.5,146362304.6875,120445971.3403427
121516195.47301102,164477539.0625,227050781.25,125138565.99950974
113648145.96861649,113647460.9375,366088867.1875,113877677.21661225
179214499.19057465,224633789.0625,239135742.1875,231002735.7680736
120671334.39076614,70385742.1875,146972656.25,121258230.7114279
173575225.89837646,212841796.875,138061523.4375,229864535.12205565
149912954.1543045,196728515.625,265502929.6875,213593591.4331187
129177254.82191086,129345703.125,325317382.8125,158078830.1234563
120245213.12125778,120214843.75,146606445.3125,120503156.16708472
115919494.69453812,215014648.4375,145019531.25,129900076.99513271
119090151.86970901,119091796.875,363525390.625,119098889.25943461
171747229.03983688,244604492.1875,145019531.25,236275454.47837317
151845769.17002106,226025390.625,359985351.5625,216983434.60702944
127216374.4815445,129223632.8125,150634765.625,151651181.05830857
118727573.83141327,118725585.9375,145507812.5,118729258.39754905
137271949.8485527,181958007.8125,134033203.125,185546744.48427603
115265544.7508049,115258789.0625,301391601.5625,115257426.64758481
184868268.17749786,230517578.125,148925781.25,231846666.82986522
121918816.19638443,76660156.25,147949218.75,124064327.7070091
191034573.5255432,237426757.8125,343872070.3125,232345038.8858695
191177134.10404205,250756835.9375,213012695.3125,232339428.30559897
121236088.58874512,173437500.0,199707031.25,122417684.05281208
130091247.24969101,166284179.6875,172851562.5,170431900.58124965
142781396.46980667,195800781.25,127075195.3125,203356197.2023457
169675506.23692322,182543945.3125,132080078.125,228283742.15221494
119199754.35876083,119213867.1875,145996093.75,119300143.69548409
121853913.69810867,174633789.0625,174682617.1875,127522346.44994567
118407793.52573776,118408203.125,345703125.0,118410413.32965092
118638278.17099762,118652343.75,145629882.8125,118672034.44482996
122645534.37901306,122607421.875,149291992.1875,138535938.51648962
157604564.43844604,195458984.375,192871093.75,223266185.32019496
118741013.0231514,118725585.9375,364868164.0625,118742887.14963225
119170134.4053421,119921875.0,255859375.0,121291953.44693841
179577947.5964737,252197265.625,190673828.125,231509309.01331544
138693630.2971115,166406250.0,130737304.6875,186409307.48894447
148360940.47369003,196411132.8125,343383789.0625,209572508.81742027
132954773.10653305,164843750.0,162475585.9375,164983289.51971865
166827979.70912933,228344726.5625,139038085.9375,227948576.788252
145639442.77249146,196875000.0,141113281.25,204414707.27935353
134578058.35419083,180175781.25,317138671.875,171724672.22313616
114542834.66609573,114526367.1875,172729492.1875,114566839.84110193
123847650.76200485,125927734.375,276611328.125,129402392.49015574
117653241.59341812,117651367.1875,125000000.0,117653195.75215325
116224834.885952,116235351.5625,144287109.375,116217847.27613008
161126380.5933075,202905273.4375,310180664.0625,223875301.0276447
126770664.99333191,170312500.0,225952148.4375,141609419.08820003
157296133.82855225,227197265.625,227172851.5625,223028209.29976255
128321738.56884384,128540039.0625,298828125.0,146964747.61974993
118294977.42417526,118310546.875,145751953.125,118853263.18005353
140851374.62512207,199365234.375,289794921.875,192934486.16040507
131352201.28904343,151782226.5625,225708007.8125,158642970.93211213
151260360.87584686,188574218.75,301757812.5,213850666.56751946
120012946.53370667,175439453.125,230834960.9375,133575333.46907878
136677529.59805298,164892578.125,136718750.0,179256175.81678843
158362425.77126694,251293945.3125,363403320.3125,240655141.6146927
143289783.97523117,184643554.6875,370971679.6875,198842285.5299898
124706442.5689125,124804687.5,126342773.4375,132756772.36738536
117409374.0403595,117358398.4375,200805664.0625,117648516.67476901
125878646.52428818,175439453.125,149780273.4375,136968713.36115104
131492582.38698196,180200195.3125,229003906.25,176998041.28290692
165324721.07156372,209204101.5625,352661132.8125,226359868.70496768
136188620.9967575,254052734.375,163452148.4375,245624772.79248014
129790587.27777863,182324218.75,143920898.4375,152653161.995987
154357012.8915367,190625000.0,162841796.875,217726075.48887342
158656821.54986954,193359375.0,172851562.5,223606665.289798
124157712.16714859,131469726.5625,176147460.9375,139791392.38081458
164245363.40346146,228955078.125,358154296.875,227373935.37819302
154983409.0182457,209667968.75,272949218.75,220391238.71358696
125151111.36365509,132617187.5,228271484.375,145245546.50497288
122285921.0401268,117968750.0,253295898.4375,127933983.1345278
118688574.15077591,118701171.875,125000000.0,118689536.47871366
118657916.16819,118652343.75,199829101.5625,118744970.11300667
113904010.23953247,230615234.375,337768554.6875,157210210.23282108
145584097.76426697,218383789.0625,370727539.0625,208516300.9013974
129852894.98936462,164331054.6875,301391601.5625,164192261.33797842
142802236.92702866,195898437.5,148193359.375,203391016.21865317
132449678.04953003,151269531.25,132446289.0625,171055056.59415472
113025402.81648636,113037109.375,142700195.3125,113394488.54459009
120435910.0843544,81835937.5,146972656.25,121621777.64156777
190342185.49469757,225415039.0625,215942382.8125,232335206.24639
190108588.07144165,247241210.9375,134643554.6875,232482208.38700113
137183462.73560333,181933593.75,338623046.875,185453460.27577665
113727243.99136734,113720703.125,125000000.0,113697841.48168996
124541878.13456726,138598632.8125,150146484.375,136031535.24281585
164537981.74113846,226440429.6875,205566406.25,226166722.8062748
117833888.95019913,117846679.6875,145141601.5625,117835182.54434696
128744361.93246078,140380859.375,195556640.625,152324195.6322073
152949873.4410324,190649414.0625,319824218.75,217300151.19423684
121706231.36324692,87084960.9375,308471679.6875,130093221.18999867
175608161.75973892,229443359.375,135009765.625,231101254.35949367
118941100.70929337,118969726.5625,363647460.9375,118952649.03488196
118930905.88830948,119091796.875,229492187.5,122494971.68439333
117075934.78231812,117382812.5,201293945.3125,117634276.84823346
130019643.099926,159252929.6875,178344726.5625,158327571.30122298
150103594.79063416,195776367.1875,269042968.75,213629024.9011892
135850409.24105453,180541992.1875,135620117.1875,178517489.2354883
142092894.27254486,184375000.0,126708984.375,198472568.52490243
173376261.37046432,227856445.3125,166748046.875,229812493.18056977
115380413.30707932,115332031.25,144165039.0625,111179306.48615654
138002103.62036514,182495117.1875,223510742.1875,191582954.32701856
179138173.93370438,231835937.5,176757812.5,231005862.12902415
113857072.76127243,113842773.4375,143188476.5625,113844408.40719703
122650581.87749481,174389648.4375,225952148.4375,126252215.13740185
167408741.78136826,228466796.875,137329101.5625,228091966.47662705
117019393.9304657,222045898.4375,145751953.125,134518231.99812838
182139452.9672699,229467773.4375,252685546.875,231723488.7729751
119873804.96988678,173828125.0,227905273.4375,122017907.77324156
186652260.7850952,231225585.9375,365356445.3125,232335182.71736327
118614364.18946457,118798828.125,173583984.375,119767415.5993655
116628754.39340591,116650390.625,340942382.8125,116632116.36181313
116849620.00818253,116845703.125,144775390.625,116932176.16329384
131847672.90092468,258764648.4375,147094726.5625,228404744.95261154
116984048.92101288,116992187.5,200439453.125,117010584.71540387
160914145.16276932,228442382.8125,236328125.0,225792518.33759388
120152256.37352371,175341796.875,175415039.0625,133129490.33242622
170155447.36208344,229125976.5625,176879882.8125,229316588.60385296
147703837.6824112,258618164.0625,202758789.0625,240140680.01791438
125113029.31301117,135302734.375,333496093.75,150515042.58554134
120677652.90516281,164916992.1875,147460937.5,124293151.18715928
177084144.91555786,177124023.4375,236450195.3125,230818394.94060573
118726174.41142654,118725585.9375,145996093.75,119298351.9084556
145974339.5643158,215991210.9375,144165039.0625,212538360.5830082
125571489.89793015,226123046.875,156616210.9375,159161943.4554891
137841456.56130219,184204101.5625,136352539.0625,197392627.782275
130785007.58496475,204174804.6875,229492187.5,184016692.97654477
114553113.62346268,114550781.25,172485351.5625,114536318.31578773
118467330.58096313,118481445.3125,145751953.125,118705108.05064338
116641986.96190262,116625976.5625,144531250.0,116641439.43743347
119243715.70499039,119189453.125,145996093.75,119337859.36086456
118380962.18857956,118383789.0625,172607421.875,118406745.1101285
118786844.18143463,118798828.125,374877929.6875,118794918.59262918
184722328.06526947,228662109.375,264038085.9375,231790172.78221178
121018365.28958511,118994140.625,147460937.5,123172182.9040172
112853479.41345215,112866210.9375,125610351.5625,113934038.74959989
190951396.40177536,217846679.6875,132812500.0,232420418.49641353
190981098.9134903,237988281.25,204223632.8125,232379659.2282359
121075666.26815796,169433593.75,173583984.375,122257813.0380775
169642960.7953186,198925781.25,360473632.8125,228297139.04214087
120033297.46635437,120043945.3125,199462890.625,120282478.55343576
118934375.67802048,118920898.4375,172485351.5625,118943603.46215317
118677791.14447021,118676757.8125,372192382.8125,118686347.22550167
122719936.39717484,170117187.5,174316406.25,126326758.08519287
179234490.0446701,223120117.1875,339599609.375,231063074.0371144
120576798.83592606,120239257.8125,199584960.9375,121150639.42620872
174108938.3122902,256347656.25,301879882.8125,229944147.6718669
130181933.72667313,145336914.0625,346923828.125,158369618.6409576
149097612.18810272,202294921.875,129638671.875,213378983.26712295
135790547.85822296,181225585.9375,158447265.625,184007408.33627525
141202642.37049866,159155273.4375,214599609.375,198151263.23543724
113986960.34530258,172973632.8125,143554687.5,116610986.26788007
138306472.5617714,182885742.1875,338500976.5625,191727997.59266987
114071873.49892807,114062500.0,143310546.875,114061865.19766836
123800252.26630783,123901367.1875,253417968.75,135408525.26785722
164200047.2517891,218798828.125,355590820.3125,225914858.48475787
127305943.0548706,127319335.9375,277709960.9375,151745143.705625
152463313.16017532,222021484.375,264770507.8125,217122318.07727465
122311644.36315918,144335937.5,227905273.4375,130688774.7898401
174160823.15663528,219042968.75,166381835.9375,230588090.55716142
116135730.99343109,200708007.8125,343627929.6875,134258922.9108314
116136154.47781754,116235351.5625,144653320.3125,116656303.18700348
144718221.87254715,187377929.6875,331542968.75,208184821.5354604
130846196.43498611,157202148.4375,347534179.6875,164471848.87115943
142152030.55381393,204150390.625,249145507.8125,203184180.90780878
131287767.72875595,173754882.8125,145141601.5625,170739462.97211415
112387468.83671951,119458007.8125,294433593.75,114789370.72605853
137341041.90330887,181860351.5625,338134765.625,185590643.57524812
158433332.04912186,196777343.75,332153320.3125,223532047.0773748
124281768.58134842,139086914.0625,279907226.5625,139936622.91838768
164436142.930233,227954101.5625,373413085.9375,227486815.86723366
155163308.3736725,191870117.1875,372558593.75,220497810.29662576
125584245.20164108,125585937.5,125610351.5625,145507400.50552136
118702931.29325867,118701171.875,374877929.6875,118708593.07389553
122150275.91390228,162817382.8125,174682617.1875,127816352.67508247
124055312.13153839,164477539.0625,149658203.125,132274969.04324861
125960097.03908539,126098632.8125,275512695.3125,137112904.1429434
165313062.02656937,227856445.3125,171752929.6875,226354395.47469735
129811938.56617355,129809570.3125,167846679.6875,152645208.6780595
154427640.25500107,225561523.4375,126464843.75,217730921.64334136
140428360.99696732,159985351.5625,312011718.75,192709238.63059968
131211772.82812881,147802734.375,320434570.3125,158585244.09446245
151182572.35011292,187915039.0625,131835937.5,213863716.5613423
136412718.35250092,163623046.875,156738281.25,179017900.48793983
143274885.8782692,185253906.25,165649414.0625,198816466.40855917
117495737.06649399,117504882.8125,342041015.625,117495724.73131329
123864523.65870667,80957031.25,152709960.9375,129419188.29058354
160515585.46414948,207519531.25,217773437.5,223861833.8352335
126906578.544487,160009765.625,176391601.5625,141729483.93557566
156753449.97027206,192065429.6875,211547851.5625,220950521.39595848
127667408.4960823,147900390.625,127685546.875,146695678.49197164
138567006.74637222,182080078.125,196533203.125,186339391.95128557
148142067.06650925,175488281.25,176025390.625,209521595.20355088
132136599.09769821,179223632.8125,320434570.3125,164812763.23840323
145611645.55327225,186596679.6875,262207031.25,204406066.12986508
133876075.34417343,179931640.625,161743164.0625,171479917.00526908
122866438.48225021,110864257.8125,174316406.25,126432941.44778438
179194023.37076187,225976562.5,343017578.125,231051218.96539527
136807083.86579514,184350585.9375,136840820.3125,195267058.63054022
113831834.53186035,172631835.9375,143432617.1875,116606056.55616812
120706466.18808365,118237304.6875,146972656.25,121297351.67266557
173697763.2540207,212036132.8125,234252929.6875,229962186.38312656
141755900.17350006,184204101.5625,354248046.875,198310219.5359638
133983841.54632187,180664062.5,163452148.4375,177750600.2950579
120200493.75737381,120214843.75,146606445.3125,120450170.2062781
113429973.26481628,217553710.9375,368896484.375,145348962.25275213
119035251.31698227,119042968.75,145751953.125,119038773.74665774
120129348.20477295,174096679.6875,147583007.8125,128494038.75878933
118205288.99831009,118212890.625,365234375.0,118212877.19394456
163567489.78145218,222680664.0625,128784179.6875,225759952.7188204
123276456.51030731,125781250.0,201782226.5625,134976492.00221267
184365928.2489624,232690429.6875,161254882.8125,231794120.1753898
121518643.6403122,170581054.6875,147705078.125,123666962.54088758
114466390.11869812,114453125.0,125000000.0,114446722.47007929
191184440.19233704,249755859.375,152099609.375,232336281.06523517
191085274.25814438,231689453.125,374267578.125,232440885.89358613
121159736.77662277,162768554.6875,173583984.375,122341339.08342966
169672956.28996277,210888671.875,132080078.125,228311799.21671337
112448325.90985489,172412109.375,354614257.8125,114157782.95821613
129366185.24552536,129370117.1875,148315429.6875,164050060.70967835
145248538.80808258,222241210.9375,205566406.25,208465089.27637082
119640973.11153793,119628906.25,146240234.375,119734191.70881501
118988919.3932724,119018554.6875,172607421.875,119020862.79916726
125097207.46203613,134545898.4375,279907226.5625,145218078.5374989
153349143.79018402,220922851.5625,359130859.375,219896532.05154806
164292826.46339417,228857421.875,145263671.875,227496442.3612234
117548902.32670593,117553710.9375,144897460.9375,117546814.18565097
115638381.43338394,115649414.0625,342041015.625,115635700.15889005
154151400.7607193,209692382.8125,127319335.9375,217631206.85447562
146286437.71489716,228198242.1875,266479492.1875,212543105.2598181
129822092.16429901,132006835.9375,345581054.6875,152652016.97588447
127712301.6316452,128662109.375,176147460.9375,157518212.06622818
138228184.05726624,183374023.4375,363769531.25,196984106.5635156
133141776.7023735,180468750.0,299072265.625,177469949.40094912
116602823.72106934,116601562.5,365478515.625,116601037.27116571
119079056.3106842,119067382.8125,199951171.875,119324494.68959455
118100811.3559227,118090820.3125,145263671.875,118102849.91051346
160380107.40338135,214038085.9375,153198242.1875,225795204.80184954
121794778.39026642,127294921.875,229248046.875,133625973.80404216
171482355.19732666,229003906.25,143798828.125,229257672.90983227
149640439.62286758,203881835.9375,196411132.8125,216702224.5593988
151189445.4274063,210351562.5,150634765.625,213861829.35129404
126416302.80350876,128979492.1875,152832031.25,151244125.26522675
131112568.30936813,132934570.3125,296997070.3125,158569059.93416336
121412554.133255,169482421.875,200683593.75,125037347.67859252
177931055.7960205,210888671.875,129516601.5625,230817444.2120841
119549308.83161926,146582031.25,200073242.1875,120113953.46327285
125875733.74461365,128564453.125,151245117.1875,140579076.72427037
160957658.37010574,208422851.5625,199462890.625,223821947.1503015
116913180.29722214,116918945.3125,172363281.25,116911257.58488844
116921819.8139801,116918945.3125,200683593.75,117008673.13054822
116142517.24220276,116137695.3125,330566406.25,116141092.5956885
123834451.02444458,73217773.4375,225708007.8125,129401222.9256831
133422073.13171387,181127929.6875,300537109.375,183695847.18499267
116713412.48011398,116723632.8125,144653320.3125,116731587.66833426
134089210.56208801,180102539.0625,161132812.5,171548130.1697895
154431673.74625397,256494140.625,148803710.9375,242800794.0846163
144599272.1869583,184838867.1875,143554687.5,203980526.34111106
168644755.41356277,228369140.625,299072265.625,228330418.28949794
119281958.18208694,75952148.4375,285156250.0,124891865.8858312
138566659.274868,182128906.25,196533203.125,186359784.8653414
181331761.3671074,215405273.4375,196044921.875,232277290.75971448
119722425.33655548,167993164.0625,200927734.375,121863125.82518339
188476791.82263184,230639648.4375,360351562.5,236511465.76936644
119564321.52349472,119946289.0625,227539062.5,120736255.56778197
191258224.89488602,232934570.3125,211547851.5625,232206054.32665902
191251393.89941406,241748046.875,373168945.3125,232503387.02520305
121419107.88238907,115136718.75,225708007.8125,122605045.04250482
184733534.38767624,230590820.3125,356811523.4375,231776559.1867327
121874536.040905,69995117.1875,251953125.0,124036926.31456089
168570124.14769363,228344726.5625,164672851.5625,228321765.72237527
119106084.54034042,119116210.9375,172607421.875,119127901.40675062
119604558.49293518,119213867.1875,199340820.3125,119694659.32548901
118257208.87186432,118261718.75,145263671.875,118258938.47981972
120458563.31814194,120434570.3125,146850585.9375,121035663.8107472
122656742.0186615,74951171.875,174316406.25,126255821.84317422
179025936.1175804,226757812.5,190185546.875,230876881.21383607
174311206.41799545,228930664.0625,324584960.9375,230048800.8102779
118795394.482975,118798828.125,145629882.8125,118804790.84855142
119109459.44734955,119116210.9375,172973632.8125,119359637.40490365
118913260.09375,118920898.4375,145629882.8125,118921437.9068101
129581417.99035645,170336914.0625,149414062.5,170254022.7747351
