File_name,signal,trap,Axial Frequency [Hertz],B_bkg [Tesla],Gas density [m^-3],LO frequency [Hertz],Pitch angle [degrees],Energy [eV],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Time [seconds],Time step [seconds],i_coil [Amps],r_coil [metres],r_wg [metres],Starting x position [metres],Starting y position [metres],Maxmimum z position [metres],Starting z position [metres]
out_81187087-b300-472d-8e67-b28c85ad8e3c.h5,signal1,ShallowTrap,6230253.967606742,1.0000761582214375,5e+17,26760643051.162266,89.83724684352973,17783.433370755258,27051173141.285778,290530090.12351227,0.0,1e-09,448.03164753107535,2.424191478452503,0.02,0.0004914656354656324,-0.002308015457851418,0.005461387129454266,0.0
out_81187087-b300-472d-8e67-b28c85ad8e3c.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,88.47067001080961,17783.0237809582,27053928578.508053,293285527.34578705,6.04237076810273e-05,1e-09,448.03164753107535,2.424191478452503,0.02,5.11062914563553e-05,-0.0017901166982151884,-0.0015430015610253822,-0.0015353891279570612
out_3836edfc-a63d-4785-94f9-e870f4457926.h5,signal1,ShallowTrap,5914307.65298057,1.0000761582214375,5e+17,26760643051.162266,89.79123297018761,18083.998395080973,27035893824.759525,275250773.5972595,0.0,1e-09,448.1366289302966,2.424191478452503,0.02,0.0009725749046923573,0.001480761283273678,0.007310595944984183,0.0
out_3836edfc-a63d-4785-94f9-e870f4457926.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,88.21784352733468,18083.58998732967,27040200176.534145,279557125.3718796,5.926439059477035e-05,1e-09,448.1366289302966,2.424191478452503,0.02,0.0010023163313359752,0.0007881486435303104,0.0749923757970801,7.201004442975824e-05
out_ca5ee7c4-827e-45e5-b158-677d98611c3e.h5,signal1,ShallowTrap,1632615.4500110166,1.0000761582214375,5e+17,26760643051.162266,89.52670693175837,18084.755101598057,27037070929.430256,276427878.2679901,0.0,1e-09,448.12853230484444,2.424191478452503,0.02,-0.0002834635848852835,-0.002943296387488013,0.034323458524690674,0.0
out_ca5ee7c4-827e-45e5-b158-677d98611c3e.h5,signal1,ShallowTrap,1721815.9307951147,1.0000761582214375,5e+17,26760643051.162266,89.52924978624603,18083.32573613184,27037805309.493484,277162258.3312187,0.00020739530670888458,1e-09,448.12853230484444,2.424191478452503,0.02,0.00013043896466313214,-0.003516654435820273,0.033201768801444605,0.0218534774926749
out_ca5ee7c4-827e-45e5-b158-677d98611c3e.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,88.27086688631432,18065.13964864939,27038407684.754135,277764633.59186935,0.0008054753031532814,1e-09,448.12853230484444,2.424191478452503,0.02,0.00020288509047562472,-0.003580213055143121,0.07499347813743251,0.009858181396186909
out_23bf0269-a776-45b0-93fd-932f2ba14c6d.h5,signal1,ShallowTrap,3629682.1988768904,1.0000761582214375,5e+17,26760643051.162266,89.60408906762393,18234.442470298716,27028820669.755848,268177618.59358215,0.0,1e-09,448.1853126211734,2.424191478452503,0.02,0.0013858474187273347,0.002379966422637763,0.018624319478293776,0.0
out_23bf0269-a776-45b0-93fd-932f2ba14c6d.h5,signal1,ShallowTrap,3329878.5752702267,1.0000761582214375,5e+17,26760643051.162266,89.58993843600729,18233.62299518626,27029789046.80032,269145995.6380539,0.00011794692166215992,1e-09,448.1853126211734,2.424191478452503,0.02,0.001288161054530559,0.0022760191472059412,0.020283017809564468,-0.01246452908184952
out_23bf0269-a776-45b0-93fd-932f2ba14c6d.h5,signal1,ShallowTrap,2257433.4780164235,1.0000761582214375,5e+17,26760643051.162266,89.54772291891966,18217.930186173475,27030918674.284832,270275623.1225662,0.00012488901110611824,1e-09,448.1853126211734,2.424191478452503,0.02,0.001231212036720981,0.0022329203627739695,0.027822217207489366,-0.019706828937170007
out_23bf0269-a776-45b0-93fd-932f2ba14c6d.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,89.4431096271409,18200.572633261567,27033413163.922813,272770112.76054764,0.00017184144380451077,1e-09,448.1853126211734,2.424191478452503,0.02,0.0009419775926504262,0.00305197409415215,-0.020800614597492363,-0.0207978125148826
out_53c3679f-455c-4b7d-a19b-97624f5bc864.h5,signal1,ShallowTrap,5133736.847828005,1.0000761582214375,5e+17,26760643051.162266,89.7012745483468,18243.118452091636,27027972239.514023,267329188.35175705,0.0,1e-09,448.19115590012143,2.424191478452503,0.02,-0.0004912435668840737,-0.0018454047040462167,0.011417625577365456,0.0
out_53c3679f-455c-4b7d-a19b-97624f5bc864.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,87.7989638106669,18242.106413215,27029084322.820297,268441271.65803146,0.00014559842920255006,1e-09,448.19115590012143,2.424191478452503,0.02,-0.0014828833011229481,-0.0016997389084986519,0.07499487689219919,-0.004378975365663495
out_a4556d7f-f71b-4dc8-8cca-9ad823a95a59.h5,signal1,ShallowTrap,5264411.602705673,1.0000761582214375,5e+17,26760643051.162266,89.71352437651545,17656.731942352933,27057908464.60685,297265413.4445839,0.0,1e-09,447.98545020612084,2.424191478452503,0.02,0.0015402581735250997,-0.002196390034555607,0.010619831887817024,0.0
out_a4556d7f-f71b-4dc8-8cca-9ad823a95a59.h5,signal1,ShallowTrap,4195762.869883853,1.0000761582214375,5e+17,26760643051.162266,89.63747157591317,17654.164022448025,27059052206.02147,298409154.85920334,0.00038151826598428854,1e-09,447.98545020612084,2.424191478452503,0.02,-0.0005027922272072805,-0.0024040651762495787,0.015469987827871375,-0.008286168190255933
out_a4556d7f-f71b-4dc8-8cca-9ad823a95a59.h5,signal1,ShallowTrap,3756748.084279911,1.0000761582214375,5e+17,26760643051.162266,89.61294052817048,17639.289788214013,27059992252.401188,299349201.2389221,0.00042642303547469165,1e-09,447.98545020612084,2.424191478452503,0.02,-0.0010785280220876406,-0.002919620550178295,0.0176475990009965,0.014000536655213948
out_a4556d7f-f71b-4dc8-8cca-9ad823a95a59.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,87.52393717172467,17623.432483768425,27061957321.46438,301314270.3021126,0.000579700156354709,1e-09,447.98545020612084,2.424191478452503,0.02,-0.0010616162678020187,-0.0026107220835991933,0.07499251647659741,-0.006984537287295615
out_b3fbdef2-2b95-489b-a995-4ea13310b9e9.h5,signal1,ShallowTrap,3520678.1870649457,1.0000761582214375,5e+17,26760643051.162266,89.60541650088895,18039.658277292016,27038800340.193817,278157289.03155136,0.0,1e-09,448.11663939750093,2.424191478452503,0.02,-0.0005825454725581759,-0.00013032623056643568,0.019062873797062858,0.0
out_b3fbdef2-2b95-489b-a995-4ea13310b9e9.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,89.27647982425296,18037.687277038905,27040370913.746716,279727862.58444977,0.0002867090940904781,1e-09,448.11663939750093,2.424191478452503,0.02,-0.0006491198175403717,0.0006117711266463639,0.016038266252238583,0.016041403695426823
out_a417046a-22b2-424e-b9eb-8725de428988.h5,signal1,ShallowTrap,3866064.0441934946,1.0000761582214375,5e+17,26760643051.162266,89.61883897418485,18410.89774182137,27019769200.541027,259126149.3787613,0.0,1e-09,448.2476917744711,2.424191478452503,0.02,4.035488608058375e-05,0.002334230548072299,0.017432284820421824,0.0
out_a417046a-22b2-424e-b9eb-8725de428988.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,89.14907073940512,18409.21153736756,27022246945.053734,261603893.89146805,0.00024041846718345973,1e-09,448.2476917744711,2.424191478452503,0.02,0.0003201118190745371,0.0019077932742569944,0.07499800397355769,-0.007962936110351697
out_5a6a2868-4ac0-4fd4-bf87-02ae72803f95.h5,signal1,ShallowTrap,3894155.7410631566,1.0000761582214375,5e+17,26760643051.162266,89.62318573844132,18432.703514603563,27018646506.159534,258003454.99726868,0.0,1e-09,448.2554351285426,2.424191478452503,0.02,-0.001132091259042758,0.00010316861807181432,0.017254792268676593,0.0
out_5a6a2868-4ac0-4fd4-bf87-02ae72803f95.h5,signal1,ShallowTrap,3961085.6505591376,1.0000761582214375,5e+17,26760643051.162266,89.627067737776,18432.323233188086,27019820378.063324,259177326.9010582,5.4154975030742834e-05,1e-09,448.2554351285426,2.424191478452503,0.02,-0.0011789685123453494,0.00019852092609887382,0.016897887893655,0.012386228489796779
out_5a6a2868-4ac0-4fd4-bf87-02ae72803f95.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,88.64207657534389,18408.82620680889,27020486915.324554,259843864.16228867,9.44838927072558e-05,1e-09,448.2554351285426,2.424191478452503,0.02,-0.0005556742846992754,0.0007685543450475637,0.07499655104558342,-0.013625758171250286
out_6b48ab0e-4cc7-4a02-9fa8-226e6b0deec4.h5,signal1,ShallowTrap,6049551.625156726,1.0000761582214375,5e+17,26760643051.162266,89.80928266477954,17808.979672810256,27049910921.22222,289267870.0599556,0.0,1e-09,448.04031048098705,2.424191478452503,0.02,0.0022417442826362724,0.0007695921039071941,0.006530436270456569,0.0
out_6b48ab0e-4cc7-4a02-9fa8-226e6b0deec4.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,87.80946165620435,17807.787163421934,27052903976.00184,292260924.8395729,0.0001756780647914199,1e-09,448.04031048098705,2.424191478452503,0.02,0.0014862252559666397,-0.0009574844369292894,-0.0065414009363721345,-0.00653049310158748
out_4c5aff64-dca6-48e3-ac6e-282b74ac7a9f.h5,signal1,ShallowTrap,5798515.102649578,1.0000761582214375,5e+17,26760643051.162266,89.77881179725946,17677.831048033582,27056682206.746964,296039155.5846977,0.0,1e-09,447.9938574293172,2.424191478452503,0.02,-0.0010163710850683476,-0.0016885548793984404,0.00776852500412,0.0
out_4c5aff64-dca6-48e3-ac6e-282b74ac7a9f.h5,signal1,ShallowTrap,5608755.149956864,1.0000761582214375,5e+17,26760643051.162266,89.75724317299336,17677.700542057297,27057750822.921307,297107771.75904083,1.9365462681107557e-05,1e-09,447.9938574293172,2.424191478452503,0.02,-0.0006890761118351287,-0.0013765634894562044,0.008708355125029977,0.007553134673143226
out_4c5aff64-dca6-48e3-ac6e-282b74ac7a9f.h5,signal1,ShallowTrap,-1.0,1.0000761582214375,5e+17,26760643051.162266,85.30754314647774,17657.161168394592,27063619468.674286,302976417.5120201,0.0001214549943807738,1e-09,447.9938574293172,2.424191478452503,0.02,-0.0013245901010565575,-0.0011645747437295773,0.07499007222118848,-0.004104447765592236
