File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_60e86c68-b54c-4560-830d-a26d12b800fb.h5,1.0048571427712552,27010331622.583317,118494021.77814865,18575.0,26891837600.80517,89.6,[0.0015 0.     0.    ],[-28076274.51769618  73523343.72646983   -549450.51785376],1e-09,496.01548686109203,154.60765618550025,0.02,0.005
out_6d12a670-4e1d-427b-b44a-d55e167c59ea.h5,1.0048571427712552,27010396654.394512,118559053.58934402,18575.0,26891837600.80517,89.9,[0.00055 0.      0.     ],[-28477293.06549794  73370880.26095653   -137363.67554547],1e-09,496.0146108662485,154.60765618550025,0.02,0.005
out_9064b905-42bd-4aa1-be64-83a741d9b269.h5,1.0048571427712552,27005655870.79867,113818269.99350357,18575.0,26891837600.80517,90.0,[0.0047 0.     0.    ],[ 5.21411020e+07 -5.89539366e+07 -4.81920734e-09],1e-09,496.0784991710526,154.60765618550025,0.02,0.005
out_a76a2b82-c812-4ff6-8d39-3847df2e82df.h5,1.0048571427712552,27075854596.307507,184016995.5023384,18575.0,26891837600.80517,86.6,[0.00155 0.      0.     ],[61281949.87616526 49162964.09701677 -4667626.80126039],1e-09,495.1384035545879,154.60765618550025,0.02,0.005
out_450d821d-5ede-45e0-a4d5-1629ad6ad99b.h5,1.0048571427712552,27013461349.251892,121623748.44672394,18575.0,26891837600.80517,89.1,[0.0014 0.     0.    ],[-78639141.85397434  -2935690.86846894  -1236222.86846876],1e-09,495.9733410907527,154.60765618550025,0.02,0.005
out_8672cc52-fbb0-47fd-8f00-03b839ff608e.h5,1.0048571427712552,27081978667.952755,190141067.14758682,18575.0,26891837600.80517,86.5,[0.0017 0.     0.    ],[-72056411.80958247  31289760.86238189  -4804741.58389951],1e-09,495.0569890868843,154.60765618550025,0.02,0.005
out_1fcefe34-4d1d-4e5c-9655-2953f876cd00.h5,1.0048571427712552,27082094036.83962,190256436.03445053,18575.0,26891837600.80517,86.5,[0.0017 0.     0.    ],[78556657.14869757   165031.26723596 -4804741.58389951],1e-09,495.05545626821214,154.60765618550025,0.02,0.005
out_01c6623d-486c-45d4-b6f1-b16b22eca899.h5,1.0048571427712552,27012415608.966236,120578008.16106796,18575.0,26891837600.80517,89.2,[0.00165 0.      0.     ],[-74170828.0379585   26300986.72897546  -1098874.25626444],1e-09,495.98742049576646,154.60765618550025,0.02,0.005
out_eceeae3e-6c58-4af1-823a-dbbd1bcc10c4.h5,1.0048571427712552,27061503137.303436,169665536.49826813,18575.0,26891837600.80517,86.9,[0.0005 0.     0.    ],[-73277283.41127074 -28400451.87856131   4256198.8138556 ],1e-09,495.32956868871014,154.60765618550025,0.02,0.005
out_e031cc6d-4437-4896-8dcc-dfe22bdc53c3.h5,1.0048571427712552,27011918769.582947,120081168.77777863,18575.0,26891837600.80517,89.4,[0.0005 0.     0.    ],[-66809766.38942336  41593713.7372852     824167.40816897],1e-09,495.99411072437204,154.60765618550025,0.02,0.005
out_a58b8cfb-ac3e-4df4-83aa-fb36e09c98f4.h5,1.0048571427712552,27010712977.203304,118875376.39813614,18575.0,26891837600.80517,89.7,[0.00075 0.      0.     ],[72872345.42443867 29727304.18473483  -412089.35290339],1e-09,496.0103500749281,154.60765618550025,0.02,0.005
out_748e3a2b-ab40-4643-bca9-5a0ced43638f.h5,1.0048571427712552,27010322592.599636,118484991.79446793,18575.0,26891837600.80517,89.8,[0.0017 0.     0.    ],[-38565374.09285294 -68606833.51952644    274726.93265739],1e-09,496.0156084981093,154.60765618550025,0.02,0.005
out_c11c3aff-65d9-4407-b34c-44e75049296a.h5,1.0048571427712552,27014552146.562973,122714545.75780487,18575.0,26891837600.80517,89.0,[0.00065 0.      0.     ],[64040026.74541595 45730180.90456417  1373567.71492384],1e-09,495.95865807650813,154.60765618550025,0.02,0.005
out_d11ea83a-7382-4da4-a9f7-ee1c4e310cd0.h5,1.0048571427712552,27070970758.96418,179133158.15901184,18575.0,26891837600.80517,86.7,[0.0007 0.     0.    ],[-70759534.10121745  34158806.81238849  -4530497.80022054],1e-09,495.2033985607442,154.60765618550025,0.02,0.005
out_c6dec741-1c5a-4dcf-8161-aeab529a5157.h5,1.0048571427712552,27012605210.647003,120767609.84183502,18575.0,26891837600.80517,89.3,[0.0004 0.     0.    ],[ 55831593.46038064 -55463229.31396053   -961522.29669855],1e-09,495.9848675685574,154.60765618550025,0.02,0.005
out_26645be0-8b8b-4424-abc9-8df8c2126367.h5,1.0048571427712552,27065638867.666115,173801266.86094666,18575.0,26891837600.80517,86.8,[0.00175 0.      0.     ],[  3298338.1554603  -78511658.73075563  -4393354.99849868],1e-09,495.2744257873382,154.60765618550025,0.02,0.005
out_75ca96bb-4dc4-4fa5-9383-aa9d7607efce.h5,1.0048571427712552,27059032367.798492,167194766.99332428,18575.0,26891837600.80517,86.9,[0.00265 0.      0.     ],[-47289664.80069502  62768093.28058387  -4256198.8138556 ],1e-09,495.3625330403506,154.60765618550025,0.02,0.005
out_f221b082-2688-4477-8759-d77a96ab05a2.h5,1.0048571427712552,27072338577.260265,180500976.4550972,18575.0,26891837600.80517,86.6,[0.0036 0.     0.    ],[35457143.08988265 70108953.94550526  4667626.80126039],1e-09,495.18518925625136,154.60765618550025,0.02,0.005
out_0dc526f5-e8ea-4eee-9d48-63d7ece3fae5.h5,1.0048571427712552,27011228405.33352,119390804.52835083,18575.0,26891837600.80517,89.1,[0.00375 0.      0.     ],[  5567261.63847007 -78496742.03591847  -1236222.86846876],1e-09,496.0034079392132,154.60765618550025,0.02,0.005
out_1a9de054-e3ae-466a-821c-4e110bfa76e8.h5,1.0048571427712552,27009498280.188614,117660679.38344574,18575.0,26891837600.80517,88.9,[0.00445 0.      0.     ],[24351841.58947492 74826239.5584724   1510908.37725346],1e-09,496.0267131635373,154.60765618550025,0.02,0.005
out_c201e60f-8f2d-436c-845e-ff29624d5951.h5,1.0048571427712552,27080514490.19107,188676889.3859024,18575.0,26891837600.80517,86.5,[0.00345 0.      0.     ],[-34899002.43282206 -70379224.54027937  -4804741.58389951],1e-09,495.07644544276013,154.60765618550025,0.02,0.005
