File_name,Axial F [Hertz],B_bkg [Tesla],Delta E [eV],Gas density [m^-3],Helium fraction,LO frequency [Hertz],Pitch angle [degrees],Start E [eV],Start F [Hertz],"Start F, downmixed [Hertz]",Time [seconds],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres],x_start [metres],y_start [metres],z_max [metres],z_start [metres]
out_13b7a083-90b1-4ee2-bf97-f53b2f8d5b61.h5,[ 4.43306139e+07  3.73178268e+07 -1.00000000e+00],1.0048897590285832,[-1.         36.04139262 45.59450007],1e+18,0.0,26760643051.162266,[87.86186486 87.31276028 84.48342917],[17826.31683248 17824.98915155 17788.81503442],[2.70672883e+10 2.70838048e+10 2.71486550e+10],[3.06645216e+08 3.23161775e+08 3.88011970e+08],[0.         0.00019526 0.00021481],1e-09,447.9211957144686,155.64586390071958,0.02,0.006,[-0.00148845  0.0024458   0.00019944],[ 0.00228348 -0.00112589 -0.00276478],[0.00959025 0.01342749 0.00775633],[0.         0.0095895  0.00778216]
out_d7b5153f-d54d-4d9a-bc30-5a1b3a12f658.h5,"[ 5.17742823e+07  5.19235737e+07  4.95608129e+07  4.95426322e+07
  4.95426322e+07  5.04118011e+07  5.13022660e+07  4.14083137e+07
  5.05912026e+07  3.20372946e+07  4.01645250e+07  4.01645250e+07
  1.86756849e+07  1.73880797e+07 -1.00000000e+00]",1.0048897590285832,"[ -1.          21.76745641  81.83263338   2.67097284   0.39338315
  17.6202619  132.20950475  32.51736258  31.0853099   25.17039535
  16.21759854   0.47353409 286.81954335 122.37131712  15.82740606]",1e+18,0.0,26760643051.162266,"[89.35120492 89.41944783 88.8132261  88.81177043 88.81130096 89.00359931
 89.30669168 87.78681168 89.12097342 87.08651806 87.68136753 87.68143862
 86.45460618 86.40986717 86.67051039]","[17615.08983824 17614.81834026 17593.01926735 17511.1205153
 17508.07868479 17507.40449537 17489.56920622 17357.30731088
 17323.52755088 17292.2876987  17267.07188903 17250.76954812
 17250.1736587  16963.13767105 16840.65955137]","[2.70610731e+10 2.70618457e+10 2.70705999e+10 2.70707612e+10
 2.70708026e+10 2.70699031e+10 2.70745264e+10 2.70967681e+10
 2.70790804e+10 2.71203642e+10 2.71029508e+10 2.71031199e+10
 2.71683733e+10 2.71776910e+10 2.72199573e+10]","[3.00430001e+08 3.01202601e+08 3.09956882e+08 3.10118175e+08
 3.10159517e+08 3.09260047e+08 3.13883392e+08 3.36125064e+08
 3.18437315e+08 3.59721169e+08 3.42307786e+08 3.42476817e+08
 4.07730233e+08 4.17047942e+08 4.59314208e+08]","[0.00000000e+00 4.04272260e-05 4.51408511e-05 5.50419021e-05
 1.10585725e-04 1.52644154e-04 1.84885141e-04 1.92800201e-04
 3.83700896e-04 4.07133773e-04 4.14015430e-04 4.26882142e-04
 4.45460350e-04 4.78758773e-04 4.95303072e-04]",1e-09,447.963761260147,155.64586390071958,0.02,0.006,"[-5.57101416e-04 -7.71196824e-04  3.41313840e-05  6.79972028e-04
 -8.57186213e-04 -3.85238237e-04 -2.06786289e-04  7.12055568e-04
 -3.10367838e-04  7.90736316e-06 -2.75534716e-04  1.24249699e-03
 -3.54004833e-04  1.23467594e-03  9.71738413e-04]","[ 5.69972753e-04  1.38477902e-04  1.32897798e-03 -1.20623469e-03
  4.01551842e-04 -9.45922278e-04  7.10819836e-04 -1.66436911e-04
  8.26397730e-04  1.40343040e-03  7.19003912e-04  3.40927295e-05
 -1.05212623e-03 -4.66871808e-04  1.32595125e-04]","[ 0.00265643  0.00237162  0.00499241  0.00499885  0.00500114  0.00414303
  0.00284307  0.01042425  0.00363337  0.01607145  0.01112031  0.01112021
  0.02654202  0.02788885 -0.01721689]","[ 0.         -0.00222824 -0.00069051 -0.00351369 -0.00162289  0.00389738
  0.00178142  0.00166582  0.00258054 -0.00175048  0.00447427  0.01064567
  0.01002554 -0.02064994 -0.01720074]"
out_eba3ec6d-7769-4311-93ed-bfab2b157f3c.h5,[ 3.16357965e+07  1.27330614e+07  5.46995607e+06 -1.00000000e+00],1.0048897590285832,[-1.         24.20254297 29.23669034 36.0304641 ],1e+18,0.0,26760643051.162266,[87.03890095 86.24972916 86.07598035 85.32843494],[17752.04635623 17751.9847741  17727.69918539 17698.11720297],[2.70973402e+10 2.71455046e+10 2.71690223e+10 2.71584096e+10],[3.36697183e+08 3.84861586e+08 4.08379229e+08 3.97766576e+08],[0.00000000e+00 9.07966700e-06 2.12963125e-05 7.20752756e-05],1e-09,447.7159651195267,155.64586390071958,0.02,0.006,[0.00079267 0.00103998 0.00140363 0.00140584],[-0.00098572 -0.00031163 -0.0003747   0.00041069],[0.01659538 0.03478574 0.05489499 0.05486709],[ 0.         -0.01646572 -0.0007953   0.05487968]
out_cb5a347d-302f-404b-abca-b42001d8d9cc.h5,"[ 1.60796780e+07  1.17243871e+07  1.35357770e+07  1.36321001e+07
 -1.00000000e+00]",1.0048897590285832,[-1.         23.56365615 15.8064812  26.76726826 20.91850583],1e+18,0.0,26760643051.162266,[86.3159877  86.1890665  86.23954384 86.24269691 85.62165961],"[17794.70534475 17794.41184247 17770.80863981 17754.13313738
 17726.97677411]","[2.71333693e+10 2.71469809e+10 2.71424454e+10 2.71437322e+10
 2.71801563e+10]","[3.72726265e+08 3.86337861e+08 3.81802385e+08 3.83089112e+08
 4.19513261e+08]","[0.00000000e+00 4.30492517e-05 4.88514341e-05 1.76523278e-04
 2.33775416e-04]",1e-09,447.4711833145856,155.64586390071958,0.02,0.006,[ 0.00104336 -0.00218273 -0.00231795  0.00208686  0.00221026],[ 0.00232509  0.00254015  0.00138168 -0.00171462  0.0020367 ],[0.02990736 0.03646998 0.03341296 0.0332503  0.07498775],[ 0.         -0.02917198 -0.0318774  -0.03319217  0.03188116]
out_f099d85f-096d-48c0-a42a-bab1a5922cac.h5,[ 2.33051277e+07 -1.00000000e+00],1.0048897590285832,[-1.         99.74802253],1e+18,0.0,26760643051.162266,[86.6095941  83.61059195],[17924.7036475  17924.21996913],[2.71086913e+10 2.71383943e+10],[3.48048263e+08 3.77751206e+08],[0.00000000e+00 7.05395777e-05],1e-09,447.63869712681327,155.64586390071958,0.02,0.006,[0.00161798 0.00133864],[-0.00122375  0.00105297],[0.02271435 0.07498739],[ 0.         -0.01905468]
out_d7f51ecd-2ffa-4d13-b7c4-958188d25663.h5,"[51754441.56191275 51764360.00609303 48354176.60427193 50140417.76715704
 51390112.35001784  9223056.42667689 17632118.97069097 41870474.42426817
 44498588.22257834 45510771.77952241]",1.0048897590285832,"[-1.00000000e+00  4.96851605e-01  2.87514881e+01  1.65442682e+01
  1.38368087e+01  5.61244545e+02  1.83098563e+01  4.20339403e+01
  1.98770732e+01  1.66131915e+01]",1e+18,0.0,26760643051.162266,"[88.91778177 88.91856124 88.37169804 88.63445592 88.86030708 86.14516503
 86.39133096 87.75744005 88.01748559 88.13210643]","[18224.20511285 18223.70973258 18223.03955208 18193.72985489
 18176.95056006 18162.89006532 17599.07303168 17580.19619745
 17537.87207745 17517.62225552]","[2.70323202e+10 2.70323659e+10 2.70404692e+10 2.70377838e+10
 2.70360070e+10 2.71622889e+10 2.71403464e+10 2.70857195e+10
 2.70811922e+10 2.70799128e+10]","[2.71677100e+08 2.71722899e+08 2.79826106e+08 2.77140789e+08
 2.75363999e+08 4.01645885e+08 3.79703328e+08 3.25076444e+08
 3.20549193e+08 3.19269776e+08]","[0.00000000e+00 7.13348111e-05 9.62952915e-05 1.76784866e-04
 2.10710209e-04 2.43026480e-04 6.23813544e-04 7.08000830e-04
 7.51356397e-04 8.07127248e-04]",1e-09,448.1612193421785,155.64586390071958,0.02,0.006,"[ 0.00127029 -0.00170338 -0.00178043 -0.00071368 -0.00079841  0.0014028
  0.00228325 -0.00127079 -0.00148443  0.00033688]","[-0.00171729 -0.00190151 -0.00016483 -0.00244219  0.00189694 -0.00090202
  0.00015881  0.00139616 -0.00075043  0.00184453]","[0.00445706 0.0044536  0.00700842 0.00573837 0.00471103 0.04177931
 0.02799345 0.01047432 0.0089029  0.00826417]","[ 0.         -0.00040349  0.00142673 -0.00452546 -0.00151802  0.00467392
 -0.02753664  0.00957549  0.00836393 -0.00347911]"
out_e96eab3f-efcb-4cb7-8df3-a79183c163f0.h5,[ 1.23403888e+07  1.37704018e+07 -1.00000000e+00],1.0048897590285832,[ -1.          14.18316548 297.32705825],1e+18,0.0,26760643051.162266,[86.20250185 86.24181579 86.84272338],[18562.82227595 18562.54670406 18548.18893963],[2.71051234e+10 2.71021950e+10 2.71499641e+10],[3.44480359e+08 3.41551933e+08 3.89321074e+08],[0.00000000e+00 3.87386884e-05 6.33099915e-05],1e-09,447.6629694562315,155.64586390071958,0.02,0.006,[-0.00242274 -0.0028824  -0.00143142],[ 0.00159996 -0.00149923 -0.00230007],[0.03582508 0.03349898 0.07499133],[0.         0.01725775 0.02468654]
out_26e46679-d3f0-4017-930a-c5279c985f27.h5,[ 1.99384683e+07  1.39280375e+07 -1.00000000e+00],1.0048897590285832,[ -1.         260.43343467  30.36677552],1e+18,0.0,26760643051.162266,[86.47601185 86.28023991 88.25294479],[18175.94625034 18175.92184652 17915.2541403 ],[2.71045755e+10 2.71334991e+10 2.71716814e+10],[3.43932477e+08 3.72856045e+08 4.11038314e+08],[0.00000000e+00 3.50825968e-06 3.76253041e-05],1e-09,447.6666978735832,155.64586390071958,0.02,0.006,[-0.00041022 -0.00011441 -0.00080774],[0.00166817 0.00085883 0.0002762 ],[0.02589569 0.03299774 0.07499792],[0.         0.01124495 0.03262248]
out_8fb4a64d-8007-421b-95ff-7d4be6617742.h5,[ 5.14978895e+07  4.86678253e+07  4.56260862e+07 -1.00000000e+00],1.0048897590285832,[-1.         22.33267615 19.48157261 57.77400868],1e+18,0.0,26760643051.162266,[89.08512923 88.54389865 88.14080118 85.49717765],[18194.82080998 18194.72922039 18172.07299535 18152.25174388],[2.70333847e+10 2.70401675e+10 2.70473901e+10 2.71448311e+10],[2.72741604e+08 2.79524498e+08 2.86747028e+08 3.84188000e+08],[0.00000000e+00 1.32095530e-05 5.99192908e-05 1.08996673e-04],1e-09,448.15389305624706,155.64586390071958,0.02,0.006,[-0.00019952 -0.0002077   0.0004254  -0.00027931],[ 2.56337428e-04 -9.66471645e-04  1.74941828e-05  3.88785088e-05],[0.00380264 0.00627855 0.00835868 0.07499249],[ 0.         -0.0037834   0.00614267  0.00448107]
out_7200061d-bf22-487e-8e5f-f39586bf13a4.h5,"[ 4.33279484e+07  4.41783498e+07  4.45132549e+07  4.11810383e+07
  4.32862869e+07  2.94169495e+07  1.60424322e+07 -1.00000000e+00]",1.0048897590285832,"[-1.00000000e+00  1.51946631e+01  1.58006051e+01  2.02489060e+01
  1.62998249e+01  3.74304283e+01  2.83212660e+01  8.25524887e+03]",1e+18,0.0,26760643051.162266,"[87.8573103  87.94216209 87.97817212 87.6687491  87.86041301 86.89204762
 86.34143895 80.17087787]","[18291.68147386 18291.54903391 18275.83524605 18259.99628697
 18239.71841884 18223.11715181 18185.26551503 18156.7370133 ]","[2.70455638e+10 2.70445728e+10 2.70446299e+10 2.70525257e+10
 2.70489041e+10 2.70812670e+10 2.71152658e+10 2.75578987e+10]","[2.84920700e+08 2.83929745e+08 2.83986884e+08 2.91882650e+08
 2.88261011e+08 3.20623931e+08 3.54622702e+08 7.97255648e+08]","[0.00000000e+00 1.89871922e-05 9.34801089e-05 9.89887415e-05
 1.03151539e-04 1.46527080e-04 2.07150221e-04 2.36948923e-04]",1e-09,448.0701593891237,155.64586390071958,0.02,0.006,"[-0.00081178  0.00132224  0.00026166  0.0011956   0.00117914  0.00055579
  0.00145876  0.00036208]","[6.10769637e-04 6.89632589e-04 1.61356926e-03 1.31855675e-03
 1.61694785e-05 9.23447548e-04 9.60809542e-04 1.04026553e-03]","[0.00995953 0.009444   0.00923148 0.01118062 0.00993934 0.01829092
 0.03022136 0.0026768 ]","[ 0.         -0.00874733 -0.00912914 -0.00095989  0.00522039  0.00173725
  0.01550909  0.00271349]"
