File_name,signal,trap,Axial Frequency [Hertz],B_bkg [Tesla],Gas density [m^-3],LO frequency [Hertz],Pitch angle [degrees],Energy [eV],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Time [seconds],Time step [seconds],i_coil [Amps],r_coil [metres],r_wg [metres],Starting x position [metres],Starting y position [metres],Maxmimum z position [metres],Starting z position [metres]
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,50649477.99575029,0.7033999999398786,1e+18,18657450135.813583,88.63841623885936,18396.603755812386,18918240438.77517,260790302.961586,0.0,1e-09,594.9123724765152,108.22535932985018,0.02,-0.0003520156985267211,-0.002104444101230442,0.005695402280621253,0.0
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,47939782.29162307,0.7033999999398786,1e+18,18657450135.813583,88.26938578989026,18396.147388383302,18922465450.632275,265015314.81869125,0.00013286845565925912,1e-09,594.9123724765152,108.22535932985018,0.02,0.0021004295470227275,-0.0003032407668905857,0.007501094522297077,-0.0030221812312111666
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,45352482.93548737,0.7033999999398786,1e+18,18657450135.813583,87.98778935865946,18380.53286469265,18926610352.732006,269160216.9184227,0.0003182549924382531,1e-09,594.9123724765152,108.22535932985018,0.02,-0.0024271231274275214,0.0007717035948385602,0.009039453568929995,0.007480172110454883
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,44155651.88189712,0.7033999999398786,1e+18,18657450135.813583,87.87352417540556,18363.71670422027,18929055576.873455,271605441.0598717,0.00040700185613203364,1e-09,594.9123724765152,108.22535932985018,0.02,0.0004972439268737807,0.0018608004139681466,0.009714810190005526,0.00903859902599402
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,41554835.463427305,0.7033999999398786,1e+18,18657450135.813583,87.6493370683986,18342.157180119055,18933635522.054512,276185386.24092865,0.0005528122631513285,1e-09,594.9123724765152,108.22535932985018,0.02,-0.0025782630456285946,-0.00041359627734229357,0.011156756258016865,0.009530119269229904
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,32531744.8998324,0.7033999999398786,1e+18,18657450135.813583,87.03916472501375,18317.18498186694,18947616188.62929,290166052.81570816,0.0007104913461892336,1e-09,594.9123724765152,108.22535932985018,0.02,-0.0012050346786882033,-0.0027177636699704934,0.0163417887505496,0.0034067822402983373
out_25cff5d8-75a0-4642-9f97-ced3421b76a1.h5,signal1,Harmonic,-1.0,0.7033999999398786,1e+18,18657450135.813583,85.65034781994657,18302.12022684921,18994452570.987404,337002435.1738205,0.0008531283321724285,1e-09,594.9123724765152,108.22535932985018,0.02,0.0014126929518619808,0.00251659380407288,-0.00018195176399565756,-0.00015064847980698597
out_b830553e-e3e3-4033-abe7-1bc65ec556ec.h5,signal1,Harmonic,31852173.409389466,0.7033999999398786,1e+18,18657450135.813583,87.00813920758213,17753.505788976443,18967816241.20291,310366105.389328,0.0,1e-09,592.6063100001777,108.22535932985018,0.02,-0.001438214577180994,0.0017333197262302613,0.016515023527387016,0.0
out_b830553e-e3e3-4033-abe7-1bc65ec556ec.h5,signal1,Harmonic,35654252.56611865,0.7033999999398786,1e+18,18657450135.813583,87.23696519109005,17753.47204737134,18962638970.893776,305188835.08019257,1.0152410749263634e-05,1e-09,592.6063100001777,108.22535932985018,0.02,-0.0015655219634321486,0.003108710386108785,0.014235128145103871,-0.01355395703330624
out_b830553e-e3e3-4033-abe7-1bc65ec556ec.h5,signal1,Harmonic,26679060.442801856,0.7033999999398786,1e+18,18657450135.813583,86.74633585956504,17731.76411891578,18977223371.239346,319773235.4257622,2.9688619880940165e-05,1e-09,592.6063100001777,108.22535932985018,0.02,0.0018656932319087093,0.0028084502316582287,0.019937275370718203,0.012985376361764037
