File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_6a7c27a7-1d65-48ff-9b10-733a3d8c35e7.h5,1.0,27031320571.17245,220677520.01018524,18575.0,26810643051.162266,88.6,[0.00215 0.      0.     ],[-24827529.22800592  74660279.9570826   -1922901.07592613],1e-09,0.1,495.73332882722593,154.60765618550025,0.02,0.005
out_da52b399-225f-468c-8a5d-62fe9eccd3b9.h5,1.0,27026449135.85115,215806084.68888474,18575.0,26810643051.162266,89.2,[0.00405 0.      0.     ],[30782517.44773551 72425756.8433635   1098874.25626444],1e-09,0.1,495.7987149059896,154.60765618550025,0.02,0.005
out_c00b0367-a3e1-43f7-91c5-8aa7aff93f36.h5,1.0,27025076475.001076,214433423.83880997,18575.0,26810643051.162266,89.5,[0.00085 0.      0.     ],[ 58199062.1459263  -52977906.87382116    686810.00908256],1e-09,0.1,495.8171502920348,154.60765618550025,0.02,0.005
out_d93bd9dc-aa64-4551-b036-8894fd87b2eb.h5,1.0,27066471810.980473,255828759.8182068,18575.0,26810643051.162266,86.5,[0.0041 0.     0.    ],[78517645.73003773  2480912.47517351 -4804741.58389951],1e-09,0.1,495.2633251959263,154.60765618550025,0.02,0.005
out_c905760d-83f3-42a1-8ef3-09fc4604125b.h5,1.0,27026970569.34155,216327518.17928314,18575.0,26810643051.162266,89.1,[0.0042 0.     0.    ],[-12921337.75414596 -77625845.84433198   1236222.86846876],1e-09,0.1,495.791713119996,154.60765618550025,0.02,0.005
out_8f4fd0af-ea93-4081-b959-8a0f75ee82db.h5,1.0,27062994172.82681,252351121.66454315,18575.0,26810643051.162266,86.6,[0.00435 0.      0.     ],[ 73429402.3861519  -27939171.15166415   4667626.80126039],1e-09,0.1,495.3096832389636,154.60765618550025,0.02,0.005
out_7848e939-6f1b-4b4a-bcea-3dfec74df003.h5,1.0,27024061999.334007,213418948.1717415,18575.0,26810643051.162266,90.0,[0.0011 0.     0.    ],[ 7.42772717e+07 -2.60220688e+07 -4.81920734e-09],1e-09,0.1,495.83077823454596,154.60765618550025,0.02,0.005
out_ad8453bf-32e1-46bc-bf3e-0b10ea47cbda.h5,1.0,27028634052.879025,217991001.71675873,18575.0,26810643051.162266,88.9,[0.0031 0.     0.    ],[-56717480.9343349   54544529.25568373   1510908.37725346],1e-09,0.1,495.7693806267344,154.60765618550025,0.02,0.005
out_b44ec412-a080-47af-8061-2cc7daaccebb.h5,1.0,27043467012.334396,232823961.17213058,18575.0,26810643051.162266,87.6,[0.0021 0.     0.    ],[-78440830.99485157  -5516803.36397115   3295765.89970319],1e-09,0.1,495.57056140150394,154.60765618550025,0.02,0.005
out_5b21e6eb-25f6-4b8d-a001-ca795aae37a5.h5,1.0,27036729401.808247,226086350.64598083,18575.0,26810643051.162266,88.1,[0.00205 0.      0.     ],[-23818505.78888913  74967531.64928651   2609432.84702172],1e-09,0.1,495.660801319262,154.60765618550025,0.02,0.005
out_3df426fd-e8f0-4b1e-a900-021d22eec891.h5,1.0,27045066870.9748,234423819.81253433,18575.0,26810643051.162266,87.5,[0.00235 0.      0.     ],[-76918993.19574454 -16307793.48143775  -3433004.06422971],1e-09,0.1,495.54915090282793,154.60765618550025,0.02,0.005
out_1a8c54f9-99bf-4238-a412-8de8f0d31b22.h5,1.0,27035392180.319977,224749129.15771103,18575.0,26810643051.162266,88.2,[0.0022 0.     0.    ],[-35291341.21560603 -70304131.56324503  -2472140.71744274],1e-09,0.1,495.6787252329402,154.60765618550025,0.02,0.005
out_dba20f70-c7e9-46b9-8383-09473f3c8bdf.h5,1.0,27024517179.84472,213874128.68245316,18575.0,26810643051.162266,89.6,[0.0043 0.     0.    ],[78590237.16129103  4187348.37883073   549450.51785376],1e-09,0.1,495.8246632456893,154.60765618550025,0.02,0.005
out_c4ff76e1-a4a5-475e-a506-b41bdab1bd59.h5,1.0,27039035501.196396,228392450.0341301,18575.0,26810643051.162266,87.9,[0.00315 0.      0.     ],[-57874686.28322334 -53258468.17448962   2883992.84163323],1e-09,0.1,495.62990152661405,154.60765618550025,0.02,0.005
out_14549073-8d10-4a1b-887b-fe63cbc4f1d6.h5,1.0,27026578193.881065,215935142.7187996,18575.0,26810643051.162266,89.2,[0.00095 0.      0.     ],[62519812.1460491  47794630.70238     1098874.25626444],1e-09,0.1,495.7969818550709,154.60765618550025,0.02,0.005
out_6c6f0c7e-d69d-46da-96b0-63e333f026f4.h5,1.0,27024857974.513462,214214923.3511963,18575.0,26810643051.162266,89.5,[0.00415 0.      0.     ],[-34761693.27033667 -70607465.1320644    -686810.00908256],1e-09,0.1,495.8200852901876,154.60765618550025,0.02,0.005
out_4d02ee50-a3d3-46fa-b6b5-fce29a4cba9d.h5,1.0,27068194524.77867,257551473.6164055,18575.0,26810643051.162266,86.5,[0.0008 0.     0.    ],[75849457.52185191 20445914.29449815 -4804741.58389951],1e-09,0.1,495.2403722992601,154.60765618550025,0.02,0.005
out_c08c2171-bc8c-4176-a606-f2b4651ad2e7.h5,1.0,27058560408.273197,247917357.1109314,18575.0,26810643051.162266,86.8,[0.00275 0.      0.     ],[  610077.37880483 78578542.85257697  4393354.99849868],1e-09,0.1,495.3688315752422,154.60765618550025,0.02,0.005
out_837fd5f8-bed4-4e5b-a2c6-5c068199b989.h5,1.0,27025879687.103115,215236635.9408493,18575.0,26810643051.162266,89.3,[0.0034 0.     0.    ],[-70030752.1393559  -35903069.35422496   -961522.29669855],1e-09,0.1,495.80636224064875,154.60765618550025,0.02,0.005
out_549d4b74-50ca-4868-8352-100f38d9ef09.h5,1.0,27027766896.412655,217123845.2503891,18575.0,26810643051.162266,89.0,[0.00365 0.      0.     ],[-76488549.07979251 -18489898.07397343  -1373567.71492384],1e-09,0.1,495.7810214294478,154.60765618550025,0.02,0.005
out_5c7ae623-d3bb-4c3a-865c-16960ecda1b7.h5,1.0,27060953208.837227,250310157.6749611,18575.0,26810643051.162266,86.7,[0.0037 0.     0.    ],[31306766.71192614 72066789.21051267  4530497.80022054],1e-09,0.1,495.3369043379909,154.60765618550025,0.02,0.005
out_62c00b52-5ea0-45fc-b914-272074234313.h5,1.0,27029217600.85675,218574549.6944847,18575.0,26810643051.162266,88.8,[0.00455 0.      0.     ],[ 33642692.34699262 -71131664.54755877   1648244.43709414],1e-09,0.1,495.76154810736574,154.60765618550025,0.02,0.005
out_ef29e490-3db0-4295-baea-3af07130b748.h5,1.0,27024186849.36584,213543798.20357513,18575.0,26810643051.162266,89.8,[0.0027 0.     0.    ],[ 5165808.69949063 78533433.03955314   274726.93265739],1e-09,0.1,495.82910092019836,154.60765618550025,0.02,0.005
out_19113556-7da9-4bb1-8a0f-8ff775d2c4fd.h5,1.0,27024282570.33743,213639519.17516327,18575.0,26810643051.162266,89.7,[0.00375 0.      0.     ],[-78585220.9471258   -4295857.35818568   -412089.35290339],1e-09,0.1,495.8278149713546,154.60765618550025,0.02,0.005
out_eadf95e2-5064-4113-84e1-c0e8903717a0.h5,1.0,27040310463.593136,229667412.43087006,18575.0,26810643051.162266,87.8,[0.0045 0.     0.    ],[ 55050034.07075246 -56166065.35079961   3021259.87030847],1e-09,0.1,495.6128239759501,154.60765618550025,0.02,0.005
out_ccd3eb81-0bff-4eba-9512-1920229157e2.h5,1.0,27025363307.58931,214720256.4270439,18575.0,26810643051.162266,89.4,[0.0035 0.     0.    ],[-72921019.84566103 -29599100.86704083    824167.40816897],1e-09,0.1,495.81329761313606,154.60765618550025,0.02,0.005
out_085b4204-13a8-4056-ab73-13290bf4903c.h5,1.0,27032000428.919785,221357377.75751877,18575.0,26810643051.162266,88.5,[0.0045 0.     0.    ],[-40958642.36900054 -67174446.51691248   2060220.81826565],1e-09,0.1,495.7242084100119,154.60765618550025,0.02,0.005
out_8301106c-7207-41a8-b197-b597e09e2ac2.h5,1.0,27049596132.92504,238953081.76277542,18575.0,26810643051.162266,87.2,[0.00445 0.      0.     ],[74147162.7186687  26108965.02536229 -3844654.14061033],1e-09,0.1,495.4885725863647,154.60765618550025,0.02,0.005
out_a2b17fca-cebd-4831-b18c-12d0da27f493.h5,1.0,27055879704.754265,245236653.59199905,18575.0,26810643051.162266,86.9,[0.0035 0.     0.    ],[-71251424.74510133  33156905.80912717   4256198.8138556 ],1e-09,0.1,495.4046177118319,154.60765618550025,0.02,0.005
out_dd8abe08-5899-453e-955e-057a56ffc3a6.h5,1.0,27031025155.111347,220382103.94908142,18575.0,26810643051.162266,88.6,[0.00475 0.      0.     ],[-65076331.07822677  44222559.22303066   1922901.07592613],1e-09,0.1,495.73729225962234,154.60765618550025,0.02,0.005
out_88299043-226c-431c-a54a-3858d18c93c7.h5,1.0,27051708065.3541,241065014.1918335,18575.0,26810643051.162266,87.1,[0.0046 0.     0.    ],[42783246.20937049 65939365.25279047  3981847.96705131],1e-09,0.1,495.46034374354906,154.60765618550025,0.02,0.005
out_d14c8e26-9ce0-47c3-b6bb-049a74687306.h5,1.0,27067954064.395855,257311013.23358917,18575.0,26810643051.162266,86.5,[0.0027 0.     0.    ],[ 9909267.14921114 77929340.06048523 -4804741.58389951],1e-09,0.1,495.2435756629693,154.60765618550025,0.02,0.005
out_a536fe02-6a39-4727-9267-a55620ac974e.h5,1.0,27026485517.077457,215842465.91519165,18575.0,26810643051.162266,89.2,[0.00265 0.      0.     ],[ 26565567.78127396 -74076475.63979198  -1098874.25626444],1e-09,0.1,495.7982263577031,154.60765618550025,0.02,0.005
out_03966209-b822-4a90-b927-92704172ef95.h5,1.0,27064261983.074135,253618931.91186905,18575.0,26810643051.162266,86.6,[0.00255 0.      0.     ],[-20342477.99862462  75885822.18243974  -4667626.80126039],1e-09,0.1,495.2927793399409,154.60765618550025,0.02,0.005
out_205ef568-d070-4f9c-bfc0-19844c9515a5.h5,1.0,27027212626.243572,216569575.08130646,18575.0,26810643051.162266,89.1,[0.0024 0.     0.    ],[22960564.46406018 75269817.27024749  1236222.86846876],1e-09,0.1,495.78846302908823,154.60765618550025,0.02,0.005
out_7dd8ed25-f5fc-4240-8564-f7f378fe04d5.h5,1.0,27023978117.584866,213335066.4225998,18575.0,26810643051.162266,89.9,[0.00355 0.      0.     ],[-78652268.47758217   2839534.10548463   -137363.67554547],1e-09,0.1,495.83190517767105,154.60765618550025,0.02,0.005
out_44e84877-c2fd-4132-abeb-a7f8f41bee39.h5,1.0,27036412027.942825,225768976.78055954,18575.0,26810643051.162266,88.1,[0.00465 0.      0.     ],[ 16896785.56805408 -76824154.12530957   2609432.84702172],1e-09,0.1,495.6650549336679,154.60765618550025,0.02,0.005
out_db5bcac8-bb06-42a6-b59f-0b2145465a05.h5,1.0,27043144970.47323,232501919.31096268,18575.0,26810643051.162266,87.6,[0.0047 0.     0.    ],[-73060718.90994284  29078006.10224007   3295765.89970319],1e-09,0.1,495.57487200032665,154.60765618550025,0.02,0.005
out_0624c5a9-4f8a-4a18-ab92-c1d9238c8dda.h5,1.0,27035218950.934326,224575899.7720604,18575.0,26810643051.162266,88.2,[0.0044 0.     0.    ],[  3580149.42692214 -78583281.99903148  -2472140.71744274],1e-09,0.1,495.6810475101796,154.60765618550025,0.02,0.005
out_48aad758-69e6-4dc4-a717-f426681ce3b0.h5,1.0,27044782542.487408,234139491.3251419,18575.0,26810643051.162266,87.5,[0.00455 0.      0.     ],[  910317.13878101 78623450.47876658  3433004.06422971],1e-09,0.1,495.5529555178082,154.60765618550025,0.02,0.005
out_896d34ef-8ef0-482a-b684-5b45e0323aef.h5,1.0,27024686684.19521,214043633.03294373,18575.0,26810643051.162266,89.6,[0.0025 0.     0.    ],[ 5375852.52401995 78517892.6943003    549450.51785376],1e-09,0.1,495.8223862260515,154.60765618550025,0.02,0.005
out_cf7c1515-8192-440f-8ed3-d74c7d7bd3f7.h5,1.0,27024981112.454575,214338061.2923088,18575.0,26810643051.162266,89.5,[0.00275 0.      0.     ],[  7493320.30329909 -78343089.0521227     686810.00908256],1e-09,0.1,495.8184312300656,154.60765618550025,0.02,0.005
out_bf409117-0c04-454d-9bce-c36628239e0a.h5,1.0,27024408715.804016,213765664.64175034,18575.0,26810643051.162266,89.7,[0.0014 0.     0.    ],[ -3148705.44663458 -78639538.37454028    412089.35290339],1e-09,0.1,495.82612032540743,154.60765618550025,0.02,0.005
out_1e60ffc4-655e-42e5-bdc1-d0403234d07f.h5,1.0,27025483047.127625,214839995.96535873,18575.0,26810643051.162266,89.4,[0.00165 0.      0.     ],[-78577302.366959     4380577.61032108   -824167.40816897],1e-09,0.1,495.8116893580764,154.60765618550025,0.02,0.005
out_3a05a595-4e78-4056-805b-835f17b945ab.h5,1.0,27024236032.790836,213592981.62857056,18575.0,26810643051.162266,89.8,[0.00045 0.      0.     ],[-30985011.61903586 -72347181.97321801   -274726.93265739],1e-09,0.1,495.8284401699944,154.60765618550025,0.02,0.005
out_bab30b17-541c-48b0-ab33-3bab0a274ee5.h5,1.0,27026002749.22473,215359698.06246567,18575.0,26810643051.162266,89.3,[0.00175 0.      0.     ],[78423635.31330495 -6562778.26106719  -961522.29669855],1e-09,0.1,495.80470952367347,154.60765618550025,0.02,0.005
out_f16b0641-2fb1-44c1-ae32-1dc99ba093e4.h5,1.0,27027886506.996464,217243455.834198,18575.0,26810643051.162266,89.0,[0.0015 0.     0.    ],[-78321672.87648453   7621681.50388752   1373567.71492384],1e-09,0.1,495.77941564859344,154.60765618550025,0.02,0.005
out_2b3b4eb7-c262-48aa-8d3a-9844d748821c.h5,1.0,27061315052.84478,250672001.6825142,18575.0,26810643051.162266,86.7,[0.00145 0.      0.     ],[ 14016388.45471157 -77312848.89172083  -4530497.80022054],1e-09,0.1,495.3320775128011,154.60765618550025,0.02,0.005
out_6cb5a90e-1b2c-4f1b-8286-33f172a1f9b6.h5,1.0,27058956316.69276,248313265.5304947,18575.0,26810643051.162266,86.8,[0.0004 0.     0.    ],[-47846811.30337026 -62334919.90322986  -4393354.99849868],1e-09,0.1,495.3635479417161,154.60765618550025,0.02,0.005
out_b9b8c3e7-415b-40b3-9ef7-4d82accfb849.h5,1.0,27024723996.220745,214080945.0584793,18575.0,26810643051.162266,89.6,[0.00065 0.      0.     ],[-50894506.20355187 -60030896.22694539    549450.51785376],1e-09,0.1,495.821885008677,154.60765618550025,0.02,0.005
out_6db9e65c-7d8e-46d8-acc0-1c83cadeb1be.h5,1.0,27025087695.603977,214444644.44171143,18575.0,26810643051.162266,89.5,[0.0004 0.     0.    ],[78528388.34231864 -5204005.74122043   686810.00908256],1e-09,0.1,495.8169995751106,154.60765618550025,0.02,0.005
out_ed659697-8e5b-44bd-beb2-d08afbd202f3.h5,1.0,27024091807.00588,213448755.84361267,18575.0,26810643051.162266,89.9,[0.0016 0.     0.    ],[-78649996.16994485   2901791.35596225    137363.67554547],1e-09,0.1,495.8303777757567,154.60765618550025,0.02,0.005
out_7b063e56-d608-439c-b698-19d960873e32.h5,1.0,27068199259.495148,257556208.33288193,18575.0,26810643051.162266,86.5,[0.00045 0.      0.     ],[78539596.6714065  -1645409.49005898 -4804741.58389951],1e-09,0.1,495.2403092258231,154.60765618550025,0.02,0.005
out_be719c81-434f-4016-adac-5398ad39b5ca.h5,1.0,27026581114.39038,215938063.22811508,18575.0,26810643051.162266,89.2,[0.0005 0.     0.    ],[-75864900.40025355  20918186.39399137  -1098874.25626444],1e-09,0.1,495.7969426376186,154.60765618550025,0.02,0.005
out_612c9216-7d92-4800-aa08-74725cce5072.h5,1.0,27064930392.79586,254287341.6335945,18575.0,26810643051.162266,86.6,[0.0006 0.     0.    ],[41153746.49636286 66924162.81689665 -4667626.80126039],1e-09,0.1,495.2838689885391,154.60765618550025,0.02,0.005
out_278c53d3-a96c-4f46-9a94-6dce191cbdd1.h5,1.0,27027254774.563137,216611723.40087128,18575.0,26810643051.162266,89.1,[0.00075 0.      0.     ],[66351383.68640766 42311071.78155412 -1236222.86846876],1e-09,0.1,495.7878971203005,154.60765618550025,0.02,0.005
out_cf759a9e-e8ac-47f2-a98d-2da8f1852d43.h5,1.0,27056543796.620613,245900745.45834732,18575.0,26810643051.162266,86.9,[0.00165 0.      0.     ],[-57556548.2132547   53510650.23728882  -4256198.8138556 ],1e-09,0.1,495.3957506825364,154.60765618550025,0.02,0.005
out_9f9dfca9-257e-4048-8527-a389ef453eb5.h5,1.0,27023949579.009815,213306527.84754944,18575.0,26810643051.162266,90.0,[0.0037 0.     0.    ],[-5.61606972e+07  5.51383464e+07 -4.81920734e-09],1e-09,0.1,495.83228859479004,154.60765618550025,0.02,0.005
out_b17c4571-bd7e-48d7-82f9-cae680dbde2f.h5,1.0,27028693946.4221,218050895.2598343,18575.0,26810643051.162266,88.9,[0.0017 0.     0.    ],[-71214755.91198638  33472927.20478717  -1510908.37725346],1e-09,0.1,495.7685766809343,154.60765618550025,0.02,0.005
out_a831daa4-4290-4fe2-9cec-8d3903f40eeb.h5,1.0,27050330706.026333,239687654.86406708,18575.0,26810643051.162266,87.2,[0.00045 0.      0.     ],[ 64906838.05455068 -44346162.94207039   3844654.14061033],1e-09,0.1,495.47875272285756,154.60765618550025,0.02,0.005
out_45b2d10c-8a7c-499d-b76a-1002ae29a736.h5,1.0,27032245272.75753,221602221.59526443,18575.0,26810643051.162266,88.5,[0.0005 0.     0.    ],[-24299029.8338668  -74830300.004063     2060220.81826565],1e-09,0.1,495.720924076535,154.60765618550025,0.02,0.005
out_231f9bd6-fd6b-449c-b9a9-1d7a8b665d6d.h5,1.0,27052206918.377823,241563867.2155571,18575.0,26810643051.162266,87.1,[0.0006 0.     0.    ],[-69336159.1992907   37025708.28010102   3981847.96705131],1e-09,0.1,495.4536775654478,154.60765618550025,0.02,0.005
out_eed90a07-b014-4092-b4e3-983f708ffaed.h5,1.0,27031344270.503998,220701219.34173203,18575.0,26810643051.162266,88.6,[0.00075 0.      0.     ],[ 47792752.11829736 -62501331.63218541  -1922901.07592613],1e-09,0.1,495.73301087627254,154.60765618550025,0.02,0.005
out_20ef40e6-e27f-462d-a572-7f9fb3ff9000.h5,1.0,27039140491.853374,228497440.6911087,18575.0,26810643051.162266,87.9,[0.00175 0.      0.     ],[ 19418549.13579297 -76215901.8455823   -2883992.84163323],1e-09,0.1,495.62849506577396,154.60765618550025,0.02,0.005
out_64898fff-a161-4a73-bc98-70932dfe4f07.h5,1.0,27043537259.399197,232894208.23693085,18575.0,26810643051.162266,87.6,[0.0007 0.     0.    ],[ 11923597.10518764 -77725329.96773157   3295765.89970319],1e-09,0.1,495.56962116499983,154.60765618550025,0.02,0.005
out_ca661899-407e-4835-b38f-cc6d367743c9.h5,1.0,27036752850.350285,226109799.1880188,18575.0,26810643051.162266,88.1,[0.00065 0.      0.     ],[-71144311.18777458  33555014.60615405  -2609432.84702172],1e-09,0.1,495.66048705963834,154.60765618550025,0.02,0.005
out_4fd0144d-b5e6-4c52-b2cc-bd0c8a455992.h5,1.0,27045215980.1791,234572929.01683426,18575.0,26810643051.162266,87.5,[0.00055 0.      0.     ],[78591870.16939345 -2406986.86274436 -3433004.06422971],1e-09,0.1,495.5471557474325,154.60765618550025,0.02,0.005
out_ce48d5bb-105a-4add-9720-126c44dea43f.h5,1.0,27035484190.948174,224841139.78590775,18575.0,26810643051.162266,88.2,[0.0004 0.     0.    ],[ 34553586.41010169 -70669649.39673916  -2472140.71744274],1e-09,0.1,495.6774917889536,154.60765618550025,0.02,0.005
out_55a92d3a-be4b-41be-ae74-c77745db8931.h5,1.0,27029508820.14213,218865768.97986603,18575.0,26810643051.162266,88.8,[0.00055 0.      0.     ],[-48742876.35039198  61771161.99936038  -1648244.43709414],1e-09,0.1,495.7576396216431,154.60765618550025,0.02,0.005
out_b72b2457-63db-49dd-abe8-906036c0a029.h5,1.0,27033282940.42769,222639889.26542282,18575.0,26810643051.162266,88.4,[0.00175 0.      0.     ],[  -972064.97858681 -78666937.73199579  -2197534.28481529],1e-09,0.1,495.7070065248508,154.60765618550025,0.02,0.005
out_5b3af1a0-332c-4841-92f1-13e7a2148d7e.h5,1.0,27048566238.652767,237923187.4905014,18575.0,26810643051.162266,87.3,[0.0016 0.     0.    ],[-56030911.4149935   55145742.81165164   3707448.60268611],1e-09,0.1,495.50234267012155,154.60765618550025,0.02,0.005
out_8d20655b-e0b6-4a89-9947-eed646c8e216.h5,1.0,27030358731.36017,219715680.19790268,18575.0,26810643051.162266,88.7,[0.0015 0.     0.    ],[12348323.35274283 77708376.57537638 -1785575.4760964 ],1e-09,0.1,495.74623412150424,154.60765618550025,0.02,0.005
out_c45c24d2-0752-478c-8fe5-5abfa702e8a8.h5,1.0,27054508998.397923,243865947.23565674,18575.0,26810643051.162266,87.0,[0.00145 0.      0.     ],[ 3161518.01638114 78532156.20268972  4119029.66409281],1e-09,0.1,495.4229231080385,154.60765618550025,0.02,0.005
out_761c7e01-de9d-48e3-9be4-1c48e0ded1f0.h5,1.0,27040723386.617153,230080335.4548874,18575.0,26810643051.162266,87.8,[0.0005 0.     0.    ],[-62072532.33853909  48292172.00812485   3021259.87030847],1e-09,0.1,495.6072939531005,154.60765618550025,0.02,0.005
out_e3a14523-ec41-41e7-a732-c8e6bf0e12d2.h5,1.0,27038042574.420544,227399523.2582779,18575.0,26810643051.162266,88.0,[0.0014 0.     0.    ],[-6308278.70145376 78402310.71071266  2746717.02781569],1e-09,0.1,495.6432042327965,154.60765618550025,0.02,0.005
out_ae0ae2f4-cd8e-4b06-91c4-5745ad91ecab.h5,1.0,27041971875.979477,231328824.81721115,18575.0,26810643051.162266,87.7,[0.00155 0.      0.     ],[ -1103156.53869001 -78632486.74054712   3158517.69570215],1e-09,0.1,495.5905763732994,154.60765618550025,0.02,0.005
out_5ac0620f-25b3-44f4-b76b-aa2425ce1fe8.h5,1.0,27034444640.30725,223801589.1449852,18575.0,26810643051.162266,88.3,[0.00165 0.      0.     ],[-58072497.66174368  53069715.39351971   2334841.05729442],1e-09,0.1,495.69142870276215,154.60765618550025,0.02,0.005
out_ee2fab3b-821e-40a8-9bc1-093b090caf41.h5,1.0,27046606621.952106,235963570.7898407,18575.0,26810643051.162266,87.4,[0.0017 0.     0.    ],[ 30261032.01832133 -72565725.69520038   3570231.77123046],1e-09,0.1,495.52855101720615,154.60765618550025,0.02,0.005
out_95506dd2-cba8-4e0b-850c-6c8b67fc1540.h5,1.0,27043438077.453255,232795026.29098892,18575.0,26810643051.162266,87.6,[0.00245 0.      0.     ],[-78621413.46582854   1439594.09377318  -3295765.89970319],1e-09,0.1,495.570948690148,154.60765618550025,0.02,0.005
out_c6dce8ef-9e1f-4f9c-8260-d2ae487971e1.h5,1.0,27036686404.63821,226043353.47594452,18575.0,26810643051.162266,88.1,[0.0025 0.     0.    ],[78087281.29996721 -9477790.81758561 -2609432.84702172],1e-09,0.1,495.661377575162,154.60765618550025,0.02,0.005
out_ad4e7f4e-6573-49f4-ad97-17bdb50106c3.h5,1.0,27045002084.696796,234359033.53453064,18575.0,26810643051.162266,87.5,[0.0026 0.     0.    ],[ 55819323.55796171 -55377601.60942148  -3433004.06422971],1e-09,0.1,495.55001779327904,154.60765618550025,0.02,0.005
out_8a18b4d5-db11-4935-83d0-c171a7d79a73.h5,1.0,27035378502.15237,224735450.99010468,18575.0,26810643051.162266,88.2,[0.00275 0.      0.     ],[-78609185.3686688   -2957305.41754927  -2472140.71744274],1e-09,0.1,495.67890859681,154.60765618550025,0.02,0.005
out_2537f3cc-bbd0-4d83-82be-6beefdf23a86.h5,1.0,27039030322.17115,228387271.00888443,18575.0,26810643051.162266,87.9,[0.0034 0.     0.    ],[-76814923.09576629 -16894121.29902448   2883992.84163323],1e-09,0.1,495.62997090586606,154.60765618550025,0.02,0.005
out_46df907d-b033-4d14-b802-a28e74afe11a.h5,1.0,27024455021.229317,213811970.06705093,18575.0,26810643051.162266,89.6,[0.00465 0.      0.     ],[ 67396535.92927094 -40640696.4537784     549450.51785376],1e-09,0.1,495.82549826579356,154.60765618550025,0.02,0.005
out_cc3adfe0-4a5f-467e-8053-c6aba8e77950.h5,1.0,27024859669.38281,214216618.2205429,18575.0,26810643051.162266,89.5,[0.0044 0.     0.    ],[-75806937.62943159 -21144683.93341761    686810.00908256],1e-09,0.1,495.8200625234553,154.60765618550025,0.02,0.005
out_28479595-9205-4e38-86ed-bd997b7d3d8a.h5,1.0,27050056671.37521,239413620.21294403,18575.0,26810643051.162266,87.2,[0.0027 0.     0.    ],[77967675.81300473 10026032.22828059  3844654.14061033],1e-09,0.1,495.482415889926,154.60765618550025,0.02,0.005
out_5f1de179-a605-4c58-85b1-9aace3abddf9.h5,1.0,27032174401.627552,221531350.46528625,18575.0,26810643051.162266,88.5,[0.00265 0.      0.     ],[59266841.40311191 51744160.63348211  2060220.81826565],1e-09,0.1,495.7218747254719,154.60765618550025,0.02,0.005
out_36985c5b-b3c0-42bb-ab56-b64efcff0291.h5,1.0,27051968180.081703,241325128.9194374,18575.0,26810643051.162266,87.1,[0.00255 0.      0.     ],[ -8535483.68103588 -78138028.9262744    3981847.96705131],1e-09,0.1,495.4568677481757,154.60765618550025,0.02,0.005
out_fc1a2c10-697e-40f1-8f75-fbfbee053e0c.h5,1.0,27031303323.24903,220660272.0867653,18575.0,26810643051.162266,88.6,[0.0024 0.     0.    ],[-43080812.22945027  65837734.07771781   1922901.07592613],1e-09,0.1,495.733560226802,154.60765618550025,0.02,0.005
out_632b2d40-3750-4f80-b96e-fe84dc0946af.h5,1.0,27026357439.365227,215714388.20296097,18575.0,26810643051.162266,89.2,[0.0045 0.     0.    ],[ 67313318.77000584 -40767275.49054186   1098874.25626444],1e-09,0.1,495.79994627494517,154.60765618550025,0.02,0.005
out_a190c023-058e-4be5-be76-ee27cd2228cc.h5,1.0,27066425985.41675,255782934.25448608,18575.0,26810643051.162266,86.5,[0.00445 0.      0.     ],[69391200.0585654  36824407.28822853  4804741.58389951],1e-09,0.1,495.26393586474404,154.60765618550025,0.02,0.005
out_9f84b3bd-d68b-4c22-a1f4-d46ddc116f0b.h5,1.0,27024070204.29119,213427153.12892532,18575.0,26810643051.162266,90.0,[0.00145 0.      0.     ],[ 1.33949476e+07  7.75553772e+07 -4.81920734e-09],1e-09,0.1,495.8306680027218,154.60765618550025,0.02,0.005
out_0bba1af2-5863-4e26-9b76-1f56ca31743d.h5,1.0,27028596085.755306,217953034.59304047,18575.0,26810643051.162266,88.9,[0.00345 0.      0.     ],[-72159964.70828642  31383400.2071101    1510908.37725346],1e-09,0.1,495.7698902609149,154.60765618550025,0.02,0.005
out_ddeba0fa-754f-402e-9214-200e8d7a3fa9.h5,1.0,27026918708.270435,216275657.10816956,18575.0,26810643051.162266,89.1,[0.00475 0.      0.     ],[-54275684.13694106 -56981427.00803232   1236222.86846876],1e-09,0.1,495.7924094767467,154.60765618550025,0.02,0.005
out_5c496079-a1de-4890-874a-ad4d9f74f2d3.h5,1.0,27063254839.8985,252611788.73623276,18575.0,26810643051.162266,86.6,[0.0046 0.     0.    ],[-56529134.23200738  54561262.83737466  -4667626.80126039],1e-09,0.1,495.30620739150334,154.60765618550025,0.02,0.005
out_85258637-1070-4f5e-811e-c00e9483462f.h5,1.0,27037777025.375145,227133974.21287918,18575.0,26810643051.162266,88.0,[0.00375 0.      0.     ],[-67598364.23170574  40214149.97425644   2746717.02781569],1e-09,0.1,495.6467623479787,154.60765618550025,0.02,0.005
